surface	mode	path	driver	width	height	textless	md5	mean_luma
station_06	opening_panel	reports/pkg_0187/visual/station_06__opening_panel.png	Windows	640	360	false	b8cbdf3d3adafe36cd0853c8b942216c	0.1537
station_06	normal	reports/pkg_0187/visual/station_06__normal.png	Windows	640	360	false	678a473462b4b2bc55f2c1956b635c96	0.1786
station_06	threshold	reports/pkg_0187/visual/station_06__threshold.png	Windows	640	360	false	713bed083a326ad537a3139db610f599	0.1681
station_06	npc_frame	reports/pkg_0187/visual/station_06__npc_frame.png	Windows	640	360	false	40a8dbb2ac85d95b8029f6054a5ccdf0	0.1709
station_06	mono	reports/pkg_0187/visual/station_06__mono.png	Windows	640	360	true	ef47907cea78542836cba3cb2a2baf81	0.1654
station_07	opening_panel	reports/pkg_0187/visual/station_07__opening_panel.png	Windows	640	360	false	690120a0d3d4bcb1ae8e66eed675ed0c	0.1494
station_07	normal	reports/pkg_0187/visual/station_07__normal.png	Windows	640	360	false	54f71b248c5e7a4df287356ee14f60f0	0.1742
station_07	threshold	reports/pkg_0187/visual/station_07__threshold.png	Windows	640	360	false	03c354141834a8800594bba29bc5fccd	0.1720
station_07	mono	reports/pkg_0187/visual/station_07__mono.png	Windows	640	360	true	45d11b199e7fe93f4a34ee34ffd5d6d8	0.1675
station_08	opening_panel	reports/pkg_0187/visual/station_08__opening_panel.png	Windows	640	360	false	c9e5da1aa25b8a0b9167d491a55220e5	0.1756
station_08	normal	reports/pkg_0187/visual/station_08__normal.png	Windows	640	360	false	8ca27393c3aff46a58f2ab032a432239	0.2049
station_08	threshold	reports/pkg_0187/visual/station_08__threshold.png	Windows	640	360	false	cffcb46d97edc8b8a9244c9c47015caf	0.1984
station_08	npc_frame	reports/pkg_0187/visual/station_08__npc_frame.png	Windows	640	360	false	5a2af6a900de1fb66994d19c6341ddca	0.1941
station_08	mono	reports/pkg_0187/visual/station_08__mono.png	Windows	640	360	true	837dac9bb8f9e25bbf5e4b5a474872c4	0.1930
