generator	mix_rate	frames	peak_abs	clipped_samples	dc_offset	status
create_drain_weir_creak_sound	44100	41895	0.640167	0	0.000405	PASS
create_acid_ladder_clank_sound	44100	17640	0.694092	0	0.000004	PASS
create_groundwater_leak_alarm_sound	44100	37485	0.540436	0	0.000090	PASS
create_station36_storm_gate_sound	44100	66150	0.647156	0	-0.002320	PASS
create_signal_antenna_carrier_sound	44100	61739	0.624451	0	0.000092	PASS
create_cross_patchbay_plug_sound	44100	15434	0.654724	0	-0.000044	PASS
create_crt_sweep_interference_sound	44100	39690	0.472443	0	-0.000629	PASS
create_memory_injection_lever_sound	44100	18522	0.580719	0	0.000211	PASS
create_station37_broadcast_gate_sound	44100	68355	0.598114	0	0.000469	PASS
create_accident_field_distortion_sound	44100	66150	0.615845	0	-0.002445	PASS
create_jakub_destabilization_hum_sound	44100	48510	0.619293	0	0.000161	PASS
create_rescue_tether_chime_sound	44100	55125	0.650269	0	0.000025	PASS
create_coordinate_calculator_click_sound	44100	16758	0.668671	0	0.000332	PASS
create_station38_reference_vault_door_sound	44100	72765	0.643616	0	-0.002048	PASS
create_reference_core_harmonics_sound	44100	97020	0.615662	0	0.000000	PASS
create_branch_configuration_a_sound	44100	61739	0.545990	0	0.000005	PASS
create_branch_configuration_b_sound	44100	66150	0.647583	0	-0.000005	PASS
create_branch_configuration_c_sound	44100	79380	0.633026	0	-0.000288	PASS
create_station39_act4_gateway_sound	44100	83790	0.670685	0	0.001244	PASS
create_wierzbicka_personal_terminal_sound	44100	66150	0.618011	0	-0.000007	PASS
create_marta_witness_presence_sound	44100	70560	0.578705	0	0.000010	PASS
create_szymon_transmission_feed_sound	44100	61739	0.561646	0	-0.000009	PASS
create_cost_dossier_matrix_sound	44100	57330	0.693604	0	-0.000003	PASS
create_station40_final_chamber_gate_sound	44100	79380	0.636444	0	0.005546	PASS
create_operation_return_execution_sound	44100	61739	0.600311	0	-0.000005	PASS
create_operation_reconciliation_execution_sound	44100	61739	0.694427	0	-0.000004	PASS
create_operation_testimony_execution_sound	44100	70560	0.599396	0	0.001455	PASS
create_operation_console_engage_sound	44100	39690	0.693359	0	-0.000087	PASS
create_station41_act4_resolution_gate_sound	44100	79380	0.688751	0	-0.004112	PASS
create_epilogue_radio_announcement_sound	44100	97020	0.489044	0	-0.000007	PASS
create_epilogue_cup_clink_sound	44100	28665	0.684448	0	0.000042	PASS
create_epilogue_tram_switch_latch_sound	44100	52920	0.670471	0	-0.000021	PASS
create_epilogue_credits_drone_sound	44100	110250	0.519836	0	0.000000	PASS
create_epilogue_final_carrier_sound	44100	66150	0.566223	0	-0.000480	PASS
create_magnetic_resonance_hum_sound	44100	59535	0.660095	0	0.000004	PASS
create_barkhausen_noise_sound	44100	37485	0.407654	0	0.023800	PASS
create_llg_precession_whistle_sound	44100	48510	0.491852	0	0.000002	PASS
create_ferrimagnetic_switch_sound	44100	26460	0.479553	0	0.000016	PASS
create_onsager_thermoelectric_whistle_sound	44100	55125	0.597931	0	-0.001266	PASS
create_entropy_production_pulse_sound	44100	41895	0.459564	0	0.000074	PASS
create_prigogine_relaxation_snap_sound	44100	30869	0.357880	0	-0.000055	PASS
create_thermal_fluctuation_noise_sound	44100	50714	0.546967	0	-0.000703	PASS
create_quantum_vacuum_whistle_sound	44100	52920	0.587677	0	-0.001356	PASS
create_casimir_cavity_hiss_sound	44100	46305	0.607544	0	0.000006	PASS
create_negative_energy_pulse_sound	44100	57330	0.572815	0	0.000013	PASS
create_lifshitz_retarded_snap_sound	44100	28665	0.538788	0	0.000007	PASS
create_cooling_chamber_drone_sound	44100	79380	0.573059	0	-0.000028	PASS
create_high_voltage_hum_sound	44100	66150	0.572632	0	-0.000002	PASS
create_hydraulic_echo_sound	44100	61739	0.587463	0	0.000433	PASS
create_substructure_ambient_sound	44100	97020	0.530518	0	-0.000221	PASS
create_finale_42a_forced_return_sound	44100	79380	0.431976	0	-0.000023	PASS
create_finale_42b_closure_sound	44100	97020	0.644257	0	0.000038	PASS
create_finale_42c_reciprocal_passage_sound	44100	105840	0.612183	0	0.000000	PASS
create_unease_tinnitus_sound	44100	52920	0.677673	0	0.006515	PASS
create_residential_ambience_sound	44100	88200	0.582214	0	-0.000001	PASS
create_terminal_hum_sound	44100	70560	0.627289	0	-0.000000	PASS
create_tunnel_rumble_sound	44100	88200	0.499268	0	-0.000001	PASS
create_dawn_quietude_sound	44100	110250	0.584717	0	0.000012	PASS
create_footstep_terrazzo_sound	44100	3528	0.474487	0	0.000972	PASS
create_footstep_wet_asphalt_sound	44100	3528	0.252991	0	-0.000467	PASS
create_footstep_steel_grating_sound	44100	3969	0.445129	0	0.000145	PASS
create_footstep_hollow_deck_sound	44100	3528	0.537262	0	0.003804	PASS
create_dialogue_lena_blip_sound	44100	2205	0.418671	0	0.000848	PASS
create_dialogue_wierzbicka_blip_sound	44100	2646	0.487915	0	0.000101	PASS
create_dialogue_system_blip_sound	44100	1984	0.433655	0	0.002048	PASS
create_act1_fluorescent_ballast_hum_sound	44100	79380	0.494232	0	-0.000006	PASS
create_act1_rain_ambience_sound	44100	88200	0.392883	0	-0.000000	PASS
create_bakelite_telephone_ring_sound	44100	26460	0.595673	0	0.000010	PASS
create_institutional_hvac_ambient_sound	44100	97020	0.515900	0	0.000001	PASS
create_linoleum_corridor_resonance_sound	44100	88200	0.549896	0	-0.000000	PASS
create_teletype_relay_ambience_sound	44100	79380	0.518341	0	0.000134	PASS
create_magnetic_latch_sterile_sound	44100	9702	0.637207	0	0.000898	PASS
create_transformer_infrasound_sound	44100	97020	0.535248	0	-0.000003	PASS
create_shaft_water_drip_echo_sound	44100	88200	0.522949	0	0.000009	PASS
create_tempered_glass_resonance_sound	44100	79380	0.614655	0	0.000081	PASS
create_riveted_catwalk_creak_sound	44100	83790	0.544891	0	0.000001	PASS
create_correction_tension_swell_sound	44100	105840	0.561737	0	-0.009395	PASS
create_tri_path_resonance_sound	44100	110250	0.681824	0	-0.000000	PASS
create_anchor_grip_sound	44100	4851	0.156189	0	0.000267	PASS
create_anchor_sustain_tone_sound	44100	52920	0.342438	0	0.000000	PASS
create_anchor_release_sound	44100	14994	0.427429	0	-0.002931	PASS
create_yield_collapse_sound	44100	20286	0.374298	0	-0.000682	PASS
create_prop_drag_scrape_sound	44100	35280	0.377716	0	0.000046	PASS
create_contact_tap_sound	44100	1984	0.175293	0	-0.003281	PASS
create_switch_detent_sound	44100	3748	0.329224	0	-0.005967	PASS
create_probe_brush_sound	44100	7056	0.162170	0	-0.000001	PASS
create_outdoor_viaduct_wind_sound	44100	97020	0.523102	0	-0.000001	PASS
create_outdoor_perimeter_wind_sound	44100	105840	0.473846	0	0.000012	PASS
create_subterranean_substation_resonance_sound	44100	97020	0.680756	0	0.000003	PASS
create_signal_vault_resonance_sound	44100	101429	0.516052	0	-0.000003	PASS
create_analyzer_cooling_conduit_drone_sound	44100	97020	0.536469	0	-0.000001	PASS
create_archive_ledger_resonance_sound	44100	92610	0.498596	0	-0.000003	PASS
create_dawn_river_ambience_sound	44100	114660	0.667023	0	0.000004	PASS
