generator	call_status	mix_rate	frames	peak_abs	clipped_samples	dc_offset	loop_mode	seam_delta	status
create_linoleum_corridor_resonance_sound	CALLED	44100	88200	0.670044	0	-0.000000	0	0.000000	PASS
create_teletype_relay_ambience_sound	CALLED	44100	79380	0.620453	0	0.000150	0	0.000000	PASS
create_magnetic_latch_sterile_sound	CALLED	44100	9702	0.825226	0	0.001097	0	0.000000	PASS
create_transformer_infrasound_sound	CALLED	44100	97020	0.646667	0	-0.000003	0	0.000000	PASS
create_shaft_water_drip_echo_sound	CALLED	44100	88200	0.627502	0	0.000001	0	0.000000	PASS
create_tempered_glass_resonance_sound	CALLED	44100	79380	0.782104	0	0.000001	0	0.000000	PASS
create_riveted_catwalk_creak_sound	CALLED	44100	83790	0.661957	0	-0.000001	0	0.000000	PASS
create_correction_tension_swell_sound	CALLED	44100	105840	0.689423	0	-0.010510	0	0.000000	PASS
create_tri_path_resonance_sound	CALLED	44100	110250	0.918884	0	-0.000000	0	0.000000	PASS
create_anchor_grip_sound	CALLED	44100	4851	0.167694	0	0.000283	0	0.000000	PASS
create_anchor_sustain_tone_sound	CALLED	44100	52920	0.381866	0	0.000000	1	0.036499	PASS
create_anchor_release_sound	CALLED	44100	14994	0.490662	0	-0.003106	0	0.000000	PASS
create_yield_collapse_sound	CALLED	44100	20286	0.421509	0	-0.000725	0	0.012939	PASS
create_prop_drag_scrape_sound	CALLED	44100	35280	0.425842	0	0.000049	1	0.056030	PASS
create_contact_tap_sound	CALLED	44100	1984	0.188690	0	-0.003505	0	0.000000	PASS
create_switch_detent_sound	CALLED	44100	3748	0.365723	0	-0.006433	0	0.000244	PASS
create_probe_brush_sound	CALLED	44100	7056	0.174255	0	-0.000001	0	0.000031	PASS
create_outdoor_viaduct_wind_sound	CALLED	44100	97020	0.627747	0	-0.000000	0	0.000000	PASS
create_outdoor_perimeter_wind_sound	CALLED	44100	105840	0.554810	0	0.000011	0	0.000000	PASS
create_subterranean_substation_resonance_sound	CALLED	44100	97020	0.916504	0	0.000003	0	0.000000	PASS
create_signal_vault_resonance_sound	CALLED	44100	101429	0.616943	0	-0.000003	0	0.000000	PASS
create_analyzer_cooling_conduit_drone_sound	CALLED	44100	97020	0.648590	0	-0.000001	0	0.000000	PASS
create_archive_ledger_resonance_sound	CALLED	44100	92610	0.590759	0	-0.000003	0	0.000000	PASS
create_dawn_river_ambience_sound	CALLED	44100	114660	0.886383	0	-0.000000	0	0.000000	PASS
